time_period,time_identifier,geographic_level,country_code,country_name,gender,age,mode_of_study,t_students
202122,Academic year,National,N92000002,Northern Ireland,Female,<16,Full-time,low
202122,Academic year,National,N92000002,Northern Ireland,Female,<16,Part-time,955
202122,Academic year,National,N92000002,Northern Ireland,Female,16,Full-time,1700
202122,Academic year,National,N92000002,Northern Ireland,Female,16,Part-time,720
202122,Academic year,National,N92000002,Northern Ireland,Female,17,Full-time,1610
202122,Academic year,National,N92000002,Northern Ireland,Female,17,Part-time,635
202122,Academic year,National,N92000002,Northern Ireland,Female,18,Full-time,1185
202122,Academic year,National,N92000002,Northern Ireland,Female,18,Part-time,455
202122,Academic year,National,N92000002,Northern Ireland,Female,19,Full-time,655
202122,Academic year,National,N92000002,Northern Ireland,Female,19,Part-time,335
202122,Academic year,National,N92000002,Northern Ireland,Female,20,Full-time,340
202122,Academic year,National,N92000002,Northern Ireland,Female,20,Part-time,275
202122,Academic year,National,N92000002,Northern Ireland,Female,21,Full-time,225
202122,Academic year,National,N92000002,Northern Ireland,Female,21,Part-time,285
202122,Academic year,National,N92000002,Northern Ireland,Female,22,Full-time,175
202122,Academic year,National,N92000002,Northern Ireland,Female,22,Part-time,370
202122,Academic year,National,N92000002,Northern Ireland,Female,23,Full-time,165
202122,Academic year,National,N92000002,Northern Ireland,Female,23,Part-time,310
202122,Academic year,National,N92000002,Northern Ireland,Female,24,Full-time,110
202122,Academic year,National,N92000002,Northern Ireland,Female,24,Part-time,290
202122,Academic year,National,N92000002,Northern Ireland,Female,25,Full-time,65
202122,Academic year,National,N92000002,Northern Ireland,Female,25,Part-time,275
202122,Academic year,National,N92000002,Northern Ireland,Female,26,Full-time,55
202122,Academic year,National,N92000002,Northern Ireland,Female,26,Part-time,310
202122,Academic year,National,N92000002,Northern Ireland,Female,27,Full-time,45
202122,Academic year,National,N92000002,Northern Ireland,Female,27,Part-time,320
202122,Academic year,National,N92000002,Northern Ireland,Female,28,Full-time,40
202122,Academic year,National,N92000002,Northern Ireland,Female,28,Part-time,320
202122,Academic year,National,N92000002,Northern Ireland,Female,29,Full-time,50
202122,Academic year,National,N92000002,Northern Ireland,Female,29,Part-time,325
202122,Academic year,National,N92000002,Northern Ireland,Female,30+,Full-time,485
202122,Academic year,National,N92000002,Northern Ireland,Female,30+,Part-time,7120
202122,Academic year,National,N92000002,Northern Ireland,Female,Total,Full-time,6910
202122,Academic year,National,N92000002,Northern Ireland,Female,Total,Part-time,13305
202122,Academic year,National,N92000002,Northern Ireland,Female,Unknown,Full-time,0
202122,Academic year,National,N92000002,Northern Ireland,Female,Unknown,Part-time,5
202122,Academic year,National,N92000002,Northern Ireland,Male,<16,Full-time,5
202122,Academic year,National,N92000002,Northern Ireland,Male,<16,Part-time,1765
202122,Academic year,National,N92000002,Northern Ireland,Male,16,Full-time,2750
202122,Academic year,National,N92000002,Northern Ireland,Male,16,Part-time,925
202122,Academic year,National,N92000002,Northern Ireland,Male,17,Full-time,2755
202122,Academic year,National,N92000002,Northern Ireland,Male,17,Part-time,840
202122,Academic year,National,N92000002,Northern Ireland,Male,18,Full-time,1870
202122,Academic year,National,N92000002,Northern Ireland,Male,18,Part-time,600
202122,Academic year,National,N92000002,Northern Ireland,Male,19,Full-time,1235
202122,Academic year,National,N92000002,Northern Ireland,Male,19,Part-time,525
202122,Academic year,National,N92000002,Northern Ireland,Male,20,Full-time,795
202122,Academic year,National,N92000002,Northern Ireland,Male,20,Part-time,400
202122,Academic year,National,N92000002,Northern Ireland,Male,21,Full-time,510
202122,Academic year,National,N92000002,Northern Ireland,Male,21,Part-time,310
202122,Academic year,National,N92000002,Northern Ireland,Male,22,Full-time,360
202122,Academic year,National,N92000002,Northern Ireland,Male,22,Part-time,300
202122,Academic year,National,N92000002,Northern Ireland,Male,23,Full-time,260
202122,Academic year,National,N92000002,Northern Ireland,Male,23,Part-time,250
202122,Academic year,National,N92000002,Northern Ireland,Male,24,Full-time,195
202122,Academic year,National,N92000002,Northern Ireland,Male,24,Part-time,240
202122,Academic year,National,N92000002,Northern Ireland,Male,25,Full-time,115
202122,Academic year,National,N92000002,Northern Ireland,Male,25,Part-time,275
202122,Academic year,National,N92000002,Northern Ireland,Male,26,Full-time,80
202122,Academic year,National,N92000002,Northern Ireland,Male,26,Part-time,210
202122,Academic year,National,N92000002,Northern Ireland,Male,27,Full-time,55
202122,Academic year,National,N92000002,Northern Ireland,Male,27,Part-time,200
202122,Academic year,National,N92000002,Northern Ireland,Male,28,Full-time,60
202122,Academic year,National,N92000002,Northern Ireland,Male,28,Part-time,200
202122,Academic year,National,N92000002,Northern Ireland,Male,29,Full-time,55
202122,Academic year,National,N92000002,Northern Ireland,Male,29,Part-time,205
202122,Academic year,National,N92000002,Northern Ireland,Male,30+,Full-time,290
202122,Academic year,National,N92000002,Northern Ireland,Male,30+,Part-time,3730
202122,Academic year,National,N92000002,Northern Ireland,Male,Total,Full-time,11380
202122,Academic year,National,N92000002,Northern Ireland,Male,Total,Part-time,10975
202122,Academic year,National,N92000002,Northern Ireland,Male,Unknown,Full-time,0
202122,Academic year,National,N92000002,Northern Ireland,Male,Unknown,Part-time,0
202122,Academic year,National,N92000002,Northern Ireland,Total,<16,Full-time,5
202122,Academic year,National,N92000002,Northern Ireland,Total,<16,Part-time,2720
202122,Academic year,National,N92000002,Northern Ireland,Total,16,Full-time,4455
202122,Academic year,National,N92000002,Northern Ireland,Total,16,Part-time,1640
202122,Academic year,National,N92000002,Northern Ireland,Total,17,Full-time,4365
202122,Academic year,National,N92000002,Northern Ireland,Total,17,Part-time,1475
202122,Academic year,National,N92000002,Northern Ireland,Total,18,Full-time,3055
202122,Academic year,National,N92000002,Northern Ireland,Total,18,Part-time,1055
202122,Academic year,National,N92000002,Northern Ireland,Total,19,Full-time,1890
202122,Academic year,National,N92000002,Northern Ireland,Total,19,Part-time,860
202122,Academic year,National,N92000002,Northern Ireland,Total,20,Full-time,1135
202122,Academic year,National,N92000002,Northern Ireland,Total,20,Part-time,675
202122,Academic year,National,N92000002,Northern Ireland,Total,21,Full-time,730
202122,Academic year,National,N92000002,Northern Ireland,Total,21,Part-time,595
202122,Academic year,National,N92000002,Northern Ireland,Total,22,Full-time,535
202122,Academic year,National,N92000002,Northern Ireland,Total,22,Part-time,665
202122,Academic year,National,N92000002,Northern Ireland,Total,23,Full-time,425
202122,Academic year,National,N92000002,Northern Ireland,Total,23,Part-time,560
202122,Academic year,National,N92000002,Northern Ireland,Total,24,Full-time,310
202122,Academic year,National,N92000002,Northern Ireland,Total,24,Part-time,535
202122,Academic year,National,N92000002,Northern Ireland,Total,25,Full-time,180
202122,Academic year,National,N92000002,Northern Ireland,Total,25,Part-time,550
202122,Academic year,National,N92000002,Northern Ireland,Total,26,Full-time,135
202122,Academic year,National,N92000002,Northern Ireland,Total,26,Part-time,520
202122,Academic year,National,N92000002,Northern Ireland,Total,27,Full-time,100
202122,Academic year,National,N92000002,Northern Ireland,Total,27,Part-time,520
202122,Academic year,National,N92000002,Northern Ireland,Total,28,Full-time,100
202122,Academic year,National,N92000002,Northern Ireland,Total,28,Part-time,525
202122,Academic year,National,N92000002,Northern Ireland,Total,29,Full-time,100
202122,Academic year,National,N92000002,Northern Ireland,Total,29,Part-time,530
202122,Academic year,National,N92000002,Northern Ireland,Total,30+,Full-time,770
202122,Academic year,National,N92000002,Northern Ireland,Total,30+,Part-time,10850
202122,Academic year,National,N92000002,Northern Ireland,Total,Total,Full-time,18290
202122,Academic year,National,N92000002,Northern Ireland,Total,Total,Part-time,24280
202122,Academic year,National,N92000002,Northern Ireland,Total,Unknown,Full-time,0
202122,Academic year,National,N92000002,Northern Ireland,Total,Unknown,Part-time,5
202122,Academic year,National,S92000003,Scotland,Female,<16,Full-time,595
202122,Academic year,National,S92000003,Scotland,Female,<16,Part-time,23270
202122,Academic year,National,S92000003,Scotland,Female,<16,Work-based learning,1115
202122,Academic year,National,S92000003,Scotland,Female,16,Full-time,2035
202122,Academic year,National,S92000003,Scotland,Female,16,Part-time,6525
202122,Academic year,National,S92000003,Scotland,Female,16,Work-based learning,855
202122,Academic year,National,S92000003,Scotland,Female,17,Full-time,2950
202122,Academic year,National,S92000003,Scotland,Female,17,Part-time,4855
202122,Academic year,National,S92000003,Scotland,Female,17,Work-based learning,1245
202122,Academic year,National,S92000003,Scotland,Female,18,Full-time,2460
202122,Academic year,National,S92000003,Scotland,Female,18,Part-time,2310
202122,Academic year,National,S92000003,Scotland,Female,18,Work-based learning,1415
202122,Academic year,National,S92000003,Scotland,Female,19,Full-time,1425
202122,Academic year,National,S92000003,Scotland,Female,19,Part-time,1715
202122,Academic year,National,S92000003,Scotland,Female,19,Work-based learning,1455
202122,Academic year,National,S92000003,Scotland,Female,20,Full-time,965
202122,Academic year,National,S92000003,Scotland,Female,20,Part-time,1150
202122,Academic year,National,S92000003,Scotland,Female,20,Work-based learning,1185
202122,Academic year,National,S92000003,Scotland,Female,21,Full-time,710
202122,Academic year,National,S92000003,Scotland,Female,21,Part-time,935
202122,Academic year,National,S92000003,Scotland,Female,21,Work-based learning,1195
202122,Academic year,National,S92000003,Scotland,Female,22,Full-time,580
202122,Academic year,National,S92000003,Scotland,Female,22,Part-time,765
202122,Academic year,National,S92000003,Scotland,Female,22,Work-based learning,1300
202122,Academic year,National,S92000003,Scotland,Female,23,Full-time,525
202122,Academic year,National,S92000003,Scotland,Female,23,Part-time,740
